cause,value_agg_over_race_county,samples
_all,231.93819681886345,1
_comm,5.45924261636727,1
_inj,5.55800854721661,1
_ncd,220.9209456552794,1
_all,231.93819681886345,2
_comm,5.45924261636727,2
_inj,5.55800854721661,2
_ncd,220.9209456552794,2
_all,231.93819681886345,3
_comm,5.45924261636727,3
_inj,5.55800854721661,3
_ncd,220.9209456552794,3
_all,231.93819681886345,4
_comm,5.45924261636727,4
_inj,5.55800854721661,4
_ncd,220.9209456552794,4
_all,231.93819681886345,5
_comm,5.45924261636727,5
_inj,5.55800854721661,5
_ncd,220.9209456552794,5
_all,231.93819681886345,6
_comm,5.45924261636727,6
_inj,5.55800854721661,6
_ncd,220.9209456552794,6
_all,231.93819681886345,7
_comm,5.45924261636727,7
_inj,5.55800854721661,7
_ncd,220.9209456552794,7
_all,231.93819681886345,8
_comm,5.45924261636727,8
_inj,5.55800854721661,8
_ncd,220.9209456552794,8
_all,231.93819681886345,9
_comm,5.45924261636727,9
_inj,5.55800854721661,9
_ncd,220.9209456552794,9
_all,231.93819681886345,10
_comm,5.45924261636727,10
_inj,5.55800854721661,10
_ncd,220.9209456552794,10
_all,231.93819681886345,11
_comm,5.45924261636727,11
_inj,5.55800854721661,11
_ncd,220.9209456552794,11
_all,231.93819681886345,12
_comm,5.45924261636727,12
_inj,5.55800854721661,12
_ncd,220.9209456552794,12
_all,231.93819681886345,13
_comm,5.45924261636727,13
_inj,5.55800854721661,13
_ncd,220.9209456552794,13
_all,231.93819681886345,14
_comm,5.45924261636727,14
_inj,5.55800854721661,14
_ncd,220.9209456552794,14
_all,231.93819681886345,15
_comm,5.45924261636727,15
_inj,5.55800854721661,15
_ncd,220.9209456552794,15
_all,231.93819681886345,16
_comm,5.45924261636727,16
_inj,5.55800854721661,16
_ncd,220.9209456552794,16
_all,231.93819681886345,17
_comm,5.45924261636727,17
_inj,5.55800854721661,17
_ncd,220.9209456552794,17
_all,231.93819681886345,18
_comm,5.45924261636727,18
_inj,5.55800854721661,18
_ncd,220.9209456552794,18
_all,231.93819681886345,19
_comm,5.45924261636727,19
_inj,5.55800854721661,19
_ncd,220.9209456552794,19
_all,231.93819681886345,20
_comm,5.45924261636727,20
_inj,5.55800854721661,20
_ncd,220.9209456552794,20
_all,231.93819681886345,21
_comm,5.45924261636727,21
_inj,5.55800854721661,21
_ncd,220.9209456552794,21
_all,231.93819681886345,22
_comm,5.45924261636727,22
_inj,5.55800854721661,22
_ncd,220.9209456552794,22
_all,231.93819681886345,23
_comm,5.45924261636727,23
_inj,5.55800854721661,23
_ncd,220.9209456552794,23
_all,231.93819681886345,24
_comm,5.45924261636727,24
_inj,5.55800854721661,24
_ncd,220.9209456552794,24
_all,231.93819681886345,25
_comm,5.45924261636727,25
_inj,5.55800854721661,25
_ncd,220.9209456552794,25
_all,231.93819681886345,26
_comm,5.45924261636727,26
_inj,5.55800854721661,26
_ncd,220.9209456552794,26
_all,231.93819681886345,27
_comm,5.45924261636727,27
_inj,5.55800854721661,27
_ncd,220.9209456552794,27
_all,231.93819681886345,28
_comm,5.45924261636727,28
_inj,5.55800854721661,28
_ncd,220.9209456552794,28
_all,231.93819681886345,29
_comm,5.45924261636727,29
_inj,5.55800854721661,29
_ncd,220.9209456552794,29
_all,231.93819681886345,30
_comm,5.45924261636727,30
_inj,5.55800854721661,30
_ncd,220.9209456552794,30
_all,231.93819681886345,31
_comm,5.45924261636727,31
_inj,5.55800854721661,31
_ncd,220.9209456552794,31
_all,231.93819681886345,32
_comm,5.45924261636727,32
_inj,5.55800854721661,32
_ncd,220.9209456552794,32
_all,231.93819681886345,33
_comm,5.45924261636727,33
_inj,5.55800854721661,33
_ncd,220.9209456552794,33
_all,231.93819681886345,34
_comm,5.45924261636727,34
_inj,5.55800854721661,34
_ncd,220.9209456552794,34
_all,231.93819681886345,35
_comm,5.45924261636727,35
_inj,5.55800854721661,35
_ncd,220.9209456552794,35
_all,231.93819681886345,36
_comm,5.45924261636727,36
_inj,5.55800854721661,36
_ncd,220.9209456552794,36
_all,231.93819681886345,37
_comm,5.45924261636727,37
_inj,5.55800854721661,37
_ncd,220.9209456552794,37
_all,231.93819681886345,38
_comm,5.45924261636727,38
_inj,5.55800854721661,38
_ncd,220.9209456552794,38
_all,231.93819681886345,39
_comm,5.45924261636727,39
_inj,5.55800854721661,39
_ncd,220.9209456552794,39
_all,231.93819681886345,40
_comm,5.45924261636727,40
_inj,5.55800854721661,40
_ncd,220.9209456552794,40
_all,231.93819681886345,41
_comm,5.45924261636727,41
_inj,5.55800854721661,41
_ncd,220.9209456552794,41
_all,231.93819681886345,42
_comm,5.45924261636727,42
_inj,5.55800854721661,42
_ncd,220.9209456552794,42
_all,231.93819681886345,43
_comm,5.45924261636727,43
_inj,5.55800854721661,43
_ncd,220.9209456552794,43
_all,231.93819681886345,44
_comm,5.45924261636727,44
_inj,5.55800854721661,44
_ncd,220.9209456552794,44
_all,231.93819681886345,45
_comm,5.45924261636727,45
_inj,5.55800854721661,45
_ncd,220.9209456552794,45
_all,231.93819681886345,46
_comm,5.45924261636727,46
_inj,5.55800854721661,46
_ncd,220.9209456552794,46
_all,231.93819681886345,47
_comm,5.45924261636727,47
_inj,5.55800854721661,47
_ncd,220.9209456552794,47
_all,231.93819681886345,48
_comm,5.45924261636727,48
_inj,5.55800854721661,48
_ncd,220.9209456552794,48
_all,231.93819681886345,49
_comm,5.45924261636727,49
_inj,5.55800854721661,49
_ncd,220.9209456552794,49
_all,231.93819681886345,50
_comm,5.45924261636727,50
_inj,5.55800854721661,50
_ncd,220.9209456552794,50
_all,231.93819681886345,51
_comm,5.45924261636727,51
_inj,5.55800854721661,51
_ncd,220.9209456552794,51
_all,231.93819681886345,52
_comm,5.45924261636727,52
_inj,5.55800854721661,52
_ncd,220.9209456552794,52
_all,231.93819681886345,53
_comm,5.45924261636727,53
_inj,5.55800854721661,53
_ncd,220.9209456552794,53
_all,231.93819681886345,54
_comm,5.45924261636727,54
_inj,5.55800854721661,54
_ncd,220.9209456552794,54
_all,231.93819681886345,55
_comm,5.45924261636727,55
_inj,5.55800854721661,55
_ncd,220.9209456552794,55
_all,231.93819681886345,56
_comm,5.45924261636727,56
_inj,5.55800854721661,56
_ncd,220.9209456552794,56
_all,231.93819681886345,57
_comm,5.45924261636727,57
_inj,5.55800854721661,57
_ncd,220.9209456552794,57
_all,231.93819681886345,58
_comm,5.45924261636727,58
_inj,5.55800854721661,58
_ncd,220.9209456552794,58
_all,231.93819681886345,59
_comm,5.45924261636727,59
_inj,5.55800854721661,59
_ncd,220.9209456552794,59
_all,231.93819681886345,60
_comm,5.45924261636727,60
_inj,5.55800854721661,60
_ncd,220.9209456552794,60
_all,231.93819681886345,61
_comm,5.45924261636727,61
_inj,5.55800854721661,61
_ncd,220.9209456552794,61
_all,231.93819681886345,62
_comm,5.45924261636727,62
_inj,5.55800854721661,62
_ncd,220.9209456552794,62
_all,231.93819681886345,63
_comm,5.45924261636727,63
_inj,5.55800854721661,63
_ncd,220.9209456552794,63
_all,231.93819681886345,64
_comm,5.45924261636727,64
_inj,5.55800854721661,64
_ncd,220.9209456552794,64
_all,231.93819681886345,65
_comm,5.45924261636727,65
_inj,5.55800854721661,65
_ncd,220.9209456552794,65
