cause,race,county,value,samples,upper
_all,1,301,45.893915621341904,1,3137.344147673732
_comm,1,301,1.096402733391808,1,3137.344147673732
_inj,1,301,1.3129045555968888,1,3137.344147673732
_ncd,1,301,46.368745330545536,1,3137.344147673732
_all,2,301,0.6412594954467736,1,65.87341206334693
_comm,2,301,0.02018792327338142,1,65.87341206334693
_inj,2,301,0.01831461220018738,1,65.87341206334693
_ncd,2,301,0.5773274747668032,1,65.87341206334693
_all,4,301,8.84303877540363,1,537.8023343082205
_comm,4,301,0.2647429507345768,1,537.8023343082205
_inj,4,301,0.11822786410451559,1,537.8023343082205
_ncd,4,301,7.948704185689257,1,537.8023343082205
_all,5,301,34.10835175609415,1,2428.467579051745
_comm,5,301,0.8424100247358612,1,2428.467579051745
_inj,5,301,0.9467839348544999,1,2428.467579051745
_ncd,5,301,35.41483911144363,1,2428.467579051745
_all,6,301,0.36366352894764636,1,19.6637050935364
_comm,6,301,0.0065947097260037795,1,19.6637050935364
_inj,6,301,0.011274306397451184,1,19.6637050935364
_ncd,6,301,0.3374029054397493,1,19.6637050935364
_all,7,301,0.5797568984481061,1,85.53711715688333
_comm,7,301,0.018326129685353625,1,85.53711715688333
_inj,7,301,0.030084871937258333,1,85.53711715688333
_ncd,7,301,0.48774927501893134,1,85.53711715688333
_all,1,302,118.41119894525278,1,9087.581308977846
_comm,1,302,2.7281000372332,1,9087.581308977846
_inj,1,302,3.255499404847007,1,9087.581308977846
_ncd,1,302,117.10845146849661,1,9087.581308977846
_all,2,302,2.605467263138629,1,224.1662380663149
_comm,2,302,0.0646750588479144,1,224.1662380663149
_inj,2,302,0.059375509161403814,1,224.1662380663149
_ncd,2,302,2.5381548300545704,1,224.1662380663149
_all,4,302,29.58670294798355,1,1669.44856244124
_comm,4,302,0.955604118013333,1,1669.44856244124
_inj,4,302,0.4725108045611949,1,1669.44856244124
_ncd,4,302,26.853554271563745,1,1669.44856244124
_all,5,302,88.94697801176436,1,6894.095005793861
_comm,5,302,1.7804557120423288,1,6894.095005793861
_inj,5,302,2.614475715246474,1,6894.095005793861
_ncd,5,302,84.47636513175765,1,6894.095005793861
_all,6,302,0.17265766034407354,1,9.831852546768198
_comm,6,302,0.001983439887180975,1,9.831852546768198
_inj,6,302,0.004600122716066337,1,9.831852546768198
_ncd,6,302,0.11942208671364393,1,9.831852546768198
_all,7,302,1.5690148392163386,1,290.0396501296618
_comm,7,302,0.04405054238344402,1,290.0396501296618
_inj,7,302,0.09620100111529964,1,290.0396501296618
_ncd,7,302,1.695606935601673,1,290.0396501296618
_all,1,303,63.89170893321494,1,5733.9364052752135
_comm,1,303,1.419998306536313,1,5733.9364052752135
_inj,1,303,1.7524383738756792,1,5733.9364052752135
_ncd,1,303,61.07948302272288,1,5733.9364052752135
